"uf","municipio","codigo","nascidos_vivos","porc_premat","porc_gesta_multipla","porc_cesarea","porc_0_consulta","porc_7mais_consulta","porc_apgar1_menor_7","porc_apgar5_menor_7","porc_anomalia","porc_peso_menor_2500","porc_fem"
"RS","ROLANTE","431600",258,9.68992248062016,1.55038759689922,61.2403100775194,0.387596899224806,87.5968992248062,4.26356589147287,0.775193798449612,0.78125,6.58914728682171,41.0852713178295
"RS","RONDA ALTA","431610",121,10,0,60.3305785123967,0,81.6666666666667,5.78512396694215,0,0.833333333333333,9.09090909090909,42.1487603305785
"RS","RONDINHA","431620",41,17.0731707317073,4.8780487804878,82.9268292682927,0,90.2439024390244,9.75609756097561,2.4390243902439,0,14.6341463414634,56.0975609756098
"RS","ROQUE GONZALES","431630",67,8.95522388059701,0,73.134328358209,1.49253731343284,80.5970149253731,5.97014925373134,1.49253731343284,1.51515151515151,7.46268656716418,40.2985074626866
"RS","ROSARIO DO SUL","431640",485,10.5154639175258,2.47422680412371,63.9175257731959,1.23711340206186,78.9690721649485,4.94845360824742,1.03092783505155,0.209205020920502,10.3092783505155,46.8041237113402
"RS","SAGRADA FAMILIA","431642",19,5.26315789473684,0,100,5.26315789473684,84.2105263157895,5.26315789473684,0,0,5.26315789473684,57.8947368421053
"RS","SALDANHA MARINHO","431643",32,6.25,0,78.125,0,78.125,0,0,0,18.75,53.125
"RS","SALTO DO JACUI","431645",126,14.2857142857143,4.76190476190476,82.5396825396825,0,88.8888888888889,3.17460317460317,1.58730158730159,0,11.1111111111111,50.7936507936508
"RS","SALVADOR DAS MISSOES","431647",20,25,20,80,0,90,10,0,0,20,60
"RS","SALVADOR DO SUL","431650",73,12.3287671232877,0,69.8630136986301,0,89.041095890411,5.47945205479452,2.73972602739726,0,8.21917808219178,43.8356164383562
"RS","SANANDUVA","431660",162,12.3456790123457,0,69.7530864197531,0,95.679012345679,6.79012345679012,0.617283950617284,0.617283950617284,11.1111111111111,49.3827160493827
"RS","SANTA BARBARA DO SUL","431670",81,15,2.46913580246914,72.8395061728395,1.23456790123457,77.7777777777778,4.93827160493827,2.46913580246914,0,11.1111111111111,44.4444444444444
"RS","SANTA CECILIA DO SUL","431673",20,5,0,70,0,80,10,0,0,0,45
"RS","SANTA CLARA DO SUL","431675",71,12.6760563380282,7.04225352112676,70.4225352112676,1.40845070422535,87.3239436619718,7.04225352112676,0,2.8169014084507,9.85915492957746,42.2535211267606
"RS","SANTA CRUZ DO SUL","431680",1613,13.3292002479851,3.34779913205208,74.7055176689399,0.621504039776259,79.4903666873835,5.22063393412057,1.24223602484472,1.05590062111801,8.36949783013019,47.5511469311841
"RS","SANTA MARGARIDA DO SUL","431697",23,0,0,86.9565217391304,8.69565217391304,69.5652173913043,0,0,0,0,21.7391304347826
"RS","SANTA MARIA","431690",3454,13.9299160150594,1.93977996525767,63.8100752750434,1.5928178395598,81.2047494931943,6.55832849680789,1.015670342426,0.752968433246452,10.3358425014476,48.189979727773
"RS","SANTA MARIA DO HERVAL","431695",53,7.69230769230769,7.54716981132075,69.811320754717,0,92.3076923076923,3.77358490566038,0,2.04081632653061,9.43396226415094,43.3962264150943
"RS","SANTA ROSA","431720",1060,11.0586011342155,2.83018867924528,83.2075471698113,0.943396226415094,84.622641509434,3.50378787878788,0.37914691943128,0.473933649289099,6.88679245283019,46.9310670443815
"RS","SANTA TEREZA","431725",12,8.33333333333333,0,58.3333333333333,0,83.3333333333333,8.33333333333333,0,0,8.33333333333333,58.3333333333333
"RS","SANTA VITORIA DO PALMAR","431730",374,7.50670241286863,3.74331550802139,58.2887700534759,2.41935483870968,70.4301075268817,7.2192513368984,1.06951871657754,0,7.75401069518717,48.1283422459893
"RS","SANTANA DA BOA VISTA","431700",69,11.5942028985507,4.34782608695652,42.0289855072464,7.35294117647059,51.4705882352941,10.6060606060606,3.03030303030303,0,13.0434782608696,43.4782608695652
"RS","SANTANA DO LIVRAMENTO","431710",1080,12.8822984244671,2.77777777777778,55.8333333333333,2.31696014828545,74.8841519925857,1.86741363211951,0.936329588014981,0.281954887218045,8.61111111111111,47.962962962963
"RS","SANTIAGO","431740",595,11.4285714285714,0.672268907563025,79.6638655462185,0.504201680672269,90.5882352941177,3.7037037037037,0.505050505050505,0.840336134453782,8.0672268907563,48.0672268907563
"RS","SANTO ANGELO","431750",1098,9.56284153005464,3.82513661202186,74.0437158469945,0.546448087431694,73.4972677595628,6.38103919781221,0.364630811303555,0.546448087431694,9.65391621129326,48.2695810564663
"RS","SANTO ANTONIO DA PATRULHA","431760",443,11.9638826185102,3.16027088036117,67.9458239277652,0.451467268623025,83.9729119638826,6.12244897959184,0.453514739229025,0.225733634311512,10.6094808126411,44.5701357466063
"RS","SANTO ANTONIO DAS MISSOES","431770",108,11.1111111111111,3.7037037037037,65.7407407407407,1.85185185185185,55.5555555555556,2.77777777777778,0,0,9.25925925925926,52.7777777777778
"RS","SANTO ANTONIO DO PALMA","431755",21,0,0,90.4761904761905,0,95.2380952380952,14.2857142857143,0,0,4.76190476190476,47.6190476190476
"RS","SANTO ANTONIO DO PLANALTO","431775",23,30.4347826086957,8.69565217391304,65.2173913043478,0,86.9565217391304,4.54545454545455,0,4.34782608695652,21.7391304347826,43.4782608695652
"RS","SANTO AUGUSTO","431780",170,21.1764705882353,1.17647058823529,87.6470588235294,0,91.1764705882353,4.14201183431953,0.591715976331361,0.588235294117647,11.7647058823529,45.2941176470588
"RS","SANTO CRISTO","431790",171,9.94152046783626,4.67836257309941,83.0409356725146,1.16959064327485,75.4385964912281,5.26315789473684,0.584795321637427,0,9.35672514619883,50.8771929824561
"RS","SANTO EXPEDITO DO SUL","431795",14,7.14285714285714,0,42.8571428571428,0,92.8571428571429,7.14285714285714,0,0,0,28.5714285714286
"RS","SAO BORJA","431800",812,11.2068965517241,1.47783251231527,88.5467980295567,0.61576354679803,77.5862068965517,4.93218249075216,0.369913686806412,1.23152709359606,8.62068965517241,49.8768472906404
"RS","SAO DOMINGOS DO SUL","431805",28,10.7142857142857,0,85.7142857142857,0,89.2857142857143,17.8571428571429,0,0,3.57142857142857,46.4285714285714
"RS","SAO FRANCISCO DE ASSIS","431810",174,14.367816091954,1.14942528735632,63.2183908045977,1.72413793103448,83.9080459770115,5.17241379310345,1.14942528735632,1.16279069767442,13.2183908045977,52.8735632183908
"RS","SAO FRANCISCO DE PAULA","431820",269,8.23970037453183,1.11524163568773,58.7360594795539,1.85873605947955,62.453531598513,7.46268656716418,0.749063670411985,0.377358490566038,6.69144981412639,53.9033457249071
"RS","SAO GABRIEL","431830",792,7.95454545454545,2.14646464646465,82.1969696969697,0.631313131313131,78.9141414141414,3.66624525916561,0.758533501896334,0.883838383838384,8.83838383838384,51.3888888888889
"RS","SAO JERONIMO","431840",294,11.5646258503401,1.36054421768708,69.7278911564626,0.340136054421769,79.2517006802721,3.40136054421769,0.340136054421769,1.02040816326531,8.16326530612245,45.9183673469388
"RS","SAO JOAO DA URTIGA","431842",39,12.8205128205128,0,69.2307692307692,0,89.7435897435898,7.69230769230769,0,0,10.2564102564103,35.8974358974359
"RS","SAO JOAO DO POLESINE","431843",28,25,0,53.5714285714286,3.7037037037037,88.8888888888889,7.14285714285714,0,3.57142857142857,17.8571428571429,28.5714285714286
"RS","SAO JORGE","431844",22,13.6363636363636,4.54545454545455,95.4545454545455,0,90.9090909090909,0,0,4.54545454545455,18.1818181818182,50
"RS","SAO JOSE DAS MISSOES","431845",21,9.52380952380952,9.52380952380952,90.4761904761905,0,90,0,0,0,9.52380952380952,47.6190476190476
"RS","SAO JOSE DO HERVAL","431846",20,5,0,70,0,100,0,0,5,5,60
"RS","SAO JOSE DO HORTENCIO","431848",40,10,0,70,0,87.5,10,0,2.56410256410256,10,50
"RS","SAO JOSE DO INHACORA","431849",17,5.88235294117647,0,94.1176470588235,0,88.2352941176471,11.7647058823529,0,0,0,47.0588235294118
"RS","SAO JOSE DO NORTE","431850",271,14.760147601476,4.0590405904059,46.8634686346863,1.11111111111111,85.1851851851852,7.08955223880597,1.86567164179105,0.371747211895911,9.22509225092251,48.3394833948339
"RS","SAO JOSE DO OURO","431860",73,10.958904109589,0,76.7123287671233,1.36986301369863,87.6712328767123,2.73972602739726,1.36986301369863,2.73972602739726,16.4383561643836,52.0547945205479
"RS","SAO JOSE DO SUL","431861",29,3.44827586206896,0,75.8620689655172,0,89.6551724137931,6.89655172413793,3.44827586206896,0,0,37.9310344827586
"RS","SAO JOSE DOS AUSENTES","431862",67,16.4179104477612,5.97014925373134,53.7313432835821,1.49253731343284,82.089552238806,2.98507462686567,0,1.51515151515151,10.4477611940298,46.2686567164179
"RS","SAO LEOPOLDO","431870",2710,14.1691394658754,2.25092250922509,59.0774907749078,2.03779177473138,63.3197480548351,6.57554488363502,0.960827790096083,0.675422138836773,9.92619926199262,47.7297895902547
"RS","SAO LOURENCO DO SUL","431880",396,10.1522842639594,1.51515151515151,64.6464646464647,0,80.5626598465473,5.05050505050505,0.757575757575758,0.527704485488127,6.06060606060606,46.7171717171717
"RS","SAO LUIZ GONZAGA","431890",521,14.0115163147793,2.30326295585413,66.2188099808061,0.959692898272553,66.4107485604606,2.49520153550864,0.191938579654511,0.384615384615385,8.63723608445297,47.9846449136276
"RS","SAO MARCOS","431900",241,13.6929460580913,2.9045643153527,83.8174273858921,1.25,86.6666666666667,4.58333333333333,0.833333333333333,0,11.2033195020747,44.3983402489626
"RS","SAO MARTINHO","431910",56,7.14285714285714,0,82.1428571428571,0,92.8571428571429,5.35714285714286,0,0,14.2857142857143,46.4285714285714
"RS","SAO MARTINHO DA SERRA","431912",29,3.44827586206896,0,58.6206896551724,3.44827586206896,82.7586206896552,3.44827586206896,0,0,10.3448275862069,51.7241379310345
"RS","SAO MIGUEL DAS MISSOES","431915",73,6.84931506849315,0,63.013698630137,0,71.2328767123288,6.84931506849315,2.73972602739726,0,9.58904109589041,50.6849315068493
"RS","SAO NICOLAU","431920",54,14.8148148148148,0,61.1111111111111,0,81.4814814814815,3.7037037037037,0,0,5.55555555555556,51.8518518518518
"RS","SAO PAULO DAS MISSOES","431930",46,19.5652173913044,8.69565217391304,71.7391304347826,2.17391304347826,67.3913043478261,2.17391304347826,0,0,13.0434782608696,47.8260869565217
"RS","SAO PEDRO DA SERRA","431935",31,3.2258064516129,0,80.6451612903226,0,90.3225806451613,0,0,0,16.1290322580645,35.4838709677419
"RS","SAO PEDRO DAS MISSOES","431936",18,16.6666666666667,11.1111111111111,100,0,77.7777777777778,11.1111111111111,0,5.55555555555556,16.6666666666667,61.1111111111111
"RS","SAO PEDRO DO BUTIA","431937",36,8.33333333333333,5.55555555555556,72.2222222222222,0,91.6666666666667,0,0,0,11.1111111111111,41.6666666666667
"RS","SAO PEDRO DO SUL","431940",181,15.6424581005587,1.10497237569061,59.6685082872928,1.65745856353591,88.9502762430939,8.28729281767956,2.76243093922652,1.10497237569061,8.83977900552486,49.171270718232
"RS","SAO SEBASTIAO DO CAI","431950",298,12.1212121212121,3.35570469798658,66.1073825503356,2.01342281879195,84.2281879194631,5.05050505050505,1.34680134680135,0.338983050847458,10.738255033557,48.6577181208054
"RS","SAO SEPE","431960",247,10.5263157894737,3.23886639676113,65.587044534413,1.61943319838057,90.2834008097166,6.91056910569106,1.21951219512195,0.809716599190283,7.28744939271255,50.6072874493927
"RS","SAO VALENTIM","431970",31,3.2258064516129,0,64.5161290322581,0,58.0645161290323,3.2258064516129,3.2258064516129,0,16.1290322580645,67.741935483871
"RS","SAO VALENTIM DO SUL","431971",14,21.4285714285714,0,64.2857142857143,0,92.8571428571429,7.14285714285714,0,7.14285714285714,0,28.5714285714286
"RS","SAO VALERIO DO SUL","431973",37,29.7297297297297,0,94.5945945945946,0,72.972972972973,0,2.7027027027027,0,13.5135135135135,51.3513513513513
"RS","SAO VENDELINO","431975",23,0,0,60.8695652173913,0,73.9130434782609,0,0,0,0,47.8260869565217
"RS","SAO VICENTE DO SUL","431980",79,7.59493670886076,0,55.6962025316456,1.26582278481013,79.746835443038,10.126582278481,1.26582278481013,0,11.3924050632911,46.8354430379747
"RS","SAPIRANGA","431990",1174,9.36967632027257,2.64054514480409,64.0545144804089,0.851788756388416,78.6201022146508,5.11073253833049,0.340715502555366,0.767263427109974,8.34752981260647,50.9369676320273
